Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
Amel_8916	7	4	1
Brd7	9	0	0
Dcr-1	11	4	0
Dl	96	1	0
LOC100576346	11	0	0
LOC100576374	11	0	0
LOC100576433	3	0	1
LOC100576461	5	0	0
LOC100576472	14	0	0
LOC100576527	6	0	0
LOC100576677	5	0	0
LOC100576703	2	2	0
LOC100576915	10	2	1
LOC100576963	19	0	0
LOC100577905	11	0	0
LOC100577972	10	0	0
LOC100578132	15	0	0
LOC100578246	22	1	2
LOC100578406	3	0	0
LOC100578450	9	0	1
LOC100578828	7	0	2
LOC102654365	3	0	0
LOC102654510	5	0	0
LOC102654653	17	0	0
LOC107964404	10	1	1
LOC113218829	14	0	0
LOC408433	6	0	0
LOC408526	6	5	0
LOC408551	5	2	0
LOC408586	37	2	6
LOC408708	3	3	2
LOC408714	22	0	0
LOC408791	9	0	0
LOC408902	4	0	0
LOC408923	18	1	3
LOC409026	3	2	0
LOC409106	9	2	0
LOC409134	13	0	3
LOC409139	13	0	0
LOC409170	19	3	6
LOC409351	122	0	0
LOC409410	11	0	0
LOC409417	4	0	0
LOC409440	10	0	4
LOC409476	6	0	2
LOC409483	13	0	2
LOC409499	14	1	0
LOC409511	6	0	0
LOC409536	2	0	0
LOC409571	11	1	0
LOC409589	18	0	1
LOC409668	10	0	0
LOC409673	20	0	0
LOC409734	5	0	0
LOC409778	33	1	1
LOC409919	8	0	0
LOC409934	7	0	0
LOC409950	12	0	0
LOC409979	24	1	1
LOC410159	3	0	0
LOC410355	7	0	0
LOC410507	5	0	0
LOC410541	21	0	0
LOC410546	10	0	0
LOC410565	11	0	3
LOC410777	11	0	1
LOC410948	16	1	0
LOC411047	8	2	1
LOC411053	5	0	0
LOC411059	14	0	0
LOC411062	6	0	2
LOC411088	12	0	1
LOC411186	28	0	0
LOC411199	8	2	1
LOC411361	48	1	11
LOC411469	17	0	8
LOC411510	21	0	0
LOC411582	7	0	2
LOC411589	16	3	4
LOC411619	9	1	0
LOC411693	10	0	1
LOC411707	11	1	0
LOC411724	2	0	0
LOC411730	6	0	0
LOC411758	8	0	0
LOC411797	10	0	0
LOC411805	19	0	0
LOC411886	7	0	0
LOC411942	16	0	0
LOC411960	12	0	0
LOC411985	5	0	2
LOC411995	13	1	0
LOC412002	22	0	0
LOC412018	3	2	0
LOC412084	16	0	0
LOC412104	2	0	0
LOC412157	14	3	2
LOC412224	12	0	0
LOC412232	13	0	0
LOC412245	24	0	0
LOC412435	8	0	1
LOC412491	5	3	2
LOC412687	3	0	2
LOC412764	9	1	0
LOC412806	8	1	0
LOC412815	6	0	0
LOC412825	7	2	1
LOC412834	7	0	0
LOC412862	18	1	0
LOC412965	15	1	1
LOC413001	15	1	3
LOC413018	7	5	2
LOC413030	6	0	2
LOC413032	4	0	0
LOC413228	17	0	0
LOC413299	6	0	0
LOC413389	3	0	2
LOC413407	8	0	1
LOC413430	2	1	2
LOC413498	7	0	0
LOC413524	19	0	2
LOC413547	9	0	0
LOC413670	13	0	1
LOC413759	5	2	0
LOC413785	10	0	0
LOC413821	3	0	0
LOC414009	5	0	3
LOC414017	7	0	0
LOC551016	16	0	0
LOC551087	17	0	0
LOC551193	6	0	0
LOC551424	3	0	2
LOC551435	10	0	0
LOC551536	31	1	0
LOC551566	5	0	0
LOC551613	5	2	0
LOC551636	12	0	0
LOC551668	15	0	4
LOC551724	11	1	3
LOC551738	14	0	0
LOC551745	10	0	1
LOC551907	6	1	0
LOC551947	35	0	11
LOC551958	2	0	0
LOC551960	9	0	0
LOC551997	9	0	2
LOC552016	8	0	0
LOC552053	4	0	1
LOC552082	3	0	3
LOC552156	3	1	2
LOC552254	7	0	0
LOC552315	22	0	1
LOC552319	8	1	2
LOC552336	12	0	1
LOC552372	17	0	0
LOC552497	7	0	0
LOC552520	8	0	0
LOC552574	6	0	1
LOC552599	6	5	2
LOC552642	14	0	0
LOC552651	11	5	2
LOC552677	8	4	2
LOC552738	9	0	0
LOC724287	21	0	0
LOC724501	34	1	1
LOC724502	8	2	2
LOC724510	4	1	0
LOC724548	5	0	0
LOC724571	8	0	0
LOC724656	8	0	0
LOC724665	9	4	2
LOC724724	6	1	0
LOC724787	30	15	3
LOC725197	4	0	0
LOC725218	7	1	0
LOC725294	12	7	2
LOC725379	6	2	1
LOC725400	13	0	0
LOC725594	4	0	0
LOC725896	5	0	0
LOC726077	12	0	0
LOC726110	5	0	0
LOC726130	5	1	3
LOC726354	10	1	0
LOC726367	8	5	0
LOC726524	11	0	1
LOC726537	24	1	0
LOC726874	2	0	0
LOC726928	3	0	0
LOC726949	9	0	2
LOC727001	4	0	0
LOC727396	4	0	0
LOC727447	7	0	0
LOC727652	5	0	0
Ppib	6	0	0
Tpcn1	8	0	1
