Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
apd-3	4	4	2
CytC	7	0	0
Ef-1a-f1	8	2	1
Gfat2	26	0	2
Grd	9	0	0
LOC100576321	3	0	0
LOC100576346	10	0	0
LOC100576512	11	2	3
LOC100576667	6	0	0
LOC100576671	7	0	0
LOC100576812	13	0	0
LOC100576912	7	0	0
LOC100576947	6	0	0
LOC100577053	6	1	0
LOC100577198	14	1	0
LOC100577231	24	0	0
LOC100577280	8	0	0
LOC100577325	25	0	0
LOC100577363	18	0	0
LOC100577369	9	0	1
LOC100577376	9	0	0
LOC100577397	31	0	0
LOC100577401	2	0	0
LOC100577472	12	0	6
LOC100577530	20	2	0
LOC100577638	24	0	0
LOC100577644	8	0	0
LOC100577687	5	0	0
LOC100577739	9	0	0
LOC100577901	25	0	0
LOC100577972	36	0	0
LOC100577980	3	2	2
LOC100578031	23	0	0
LOC100578071	21	1	0
LOC100578126	32	3	2
LOC100578201	5	0	0
LOC100578207	20	1	0
LOC100578237	5	0	0
LOC100578289	25	0	0
LOC100578298	7	0	0
LOC100578515	54	2	0
LOC100578537	29	0	0
LOC100578556	5	0	0
LOC100578563	4	0	0
LOC100578587	43	0	0
LOC100578600	10	2	0
LOC100578606	15	0	0
LOC100578852	15	0	0
LOC100578939	15	4	1
LOC102653780	11	0	0
LOC102653793	25	0	0
LOC102654640	5	0	0
LOC102654839	17	0	1
LOC102654959	6	0	0
LOC102655126	5	0	0
LOC102655429	23	3	0
LOC102656656	5	0	0
LOC102656766	10	0	0
LOC107964839	9	0	0
LOC107964884	6	0	0
LOC107965828	34	0	0
LOC113218580	5	0	0
LOC113219045	5	3	1
LOC406124	11	6	6
LOC408298	8	0	2
LOC408412	18	2	0
LOC408494	7	0	0
LOC408497	4	0	0
LOC408551	4	1	0
LOC408552	9	3	1
LOC408618	17	0	0
LOC408656	16	0	0
LOC408675	13	1	0
LOC408693	9	7	3
LOC408717	15	0	0
LOC408721	36	0	0
LOC408762	3	1	0
LOC408766	16	0	2
LOC408862	23	1	2
LOC408863	9	1	0
LOC408869	5	3	3
LOC408874	22	0	0
LOC408877	6	1	2
LOC408889	28	0	0
LOC408890	9	0	1
LOC408910	17	0	3
LOC408916	12	0	0
LOC408958	7	0	0
LOC409034	22	1	0
LOC409039	8	0	0
LOC409059	14	1	3
LOC409077	16	2	0
LOC409119	13	1	6
LOC409125	8	0	0
LOC409184	136	3	0
LOC409186	10	1	2
LOC409203	9	0	0
LOC409235	29	1	0
LOC409267	12	1	0
LOC409331	9	0	0
LOC409357	9	1	1
LOC409390	22	0	0
LOC409417	31	0	0
LOC409422	4	0	0
LOC409442	27	0	0
LOC409460	3	0	0
LOC409486	10	4	2
LOC409511	8	0	0
LOC409525	14	0	0
LOC409564	20	0	0
LOC409565	4	1	1
LOC409609	6	0	1
LOC409616	19	0	0
LOC409643	41	1	0
LOC409714	38	1	0
LOC409718	18	1	2
LOC409778	17	0	0
LOC409887	4	0	2
LOC409894	11	0	5
LOC409921	8	3	1
LOC409933	1	1	1
LOC409993	16	0	0
LOC410054	11	0	0
LOC410067	31	1	1
LOC410114	9	0	0
LOC410159	4	0	0
LOC410239	5	0	0
LOC410253	23	1	0
LOC410379	8	1	0
LOC410408	85	0	0
LOC410468	10	1	2
LOC410470	10	1	0
LOC410482	18	1	0
LOC410493	10	0	1
LOC410571	7	1	0
LOC410575	8	0	0
LOC410643	22	3	1
LOC410658	18	2	1
LOC410766	32	0	0
LOC410776	11	0	3
LOC410788	12	0	0
LOC410802	9	0	0
LOC410825	10	0	0
LOC410851	10	0	0
LOC410865	11	11	5
LOC410886	6	0	0
LOC410896	7	0	2
LOC410986	9	0	0
LOC411053	8	0	0
LOC411083	19	14	5
LOC411099	11	0	2
LOC411115	28	2	0
LOC411176	7	0	0
LOC411204	17	1	1
LOC411213	16	3	1
LOC411227	21	3	7
LOC411288	6	1	1
LOC411345	3	1	0
LOC411450	14	0	0
LOC411474	18	0	0
LOC411494	34	3	1
LOC411539	7	0	0
LOC411575	19	0	0
LOC411586	20	0	1
LOC411600	87	1	1
LOC411670	74	3	0
