#Each branch site analysis results in a LRT score that is compared to a chi-square distribution with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Post_Elaboration_Sociality	All_Post_Origin_Sociality	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
Arp1	1	1	1	1	1	1	1	1	1	1	1
B-gluc1	1	1	1	1	1	1	1	1	1	1	1
CytC	1	1	1	1	1	1	1	1	0.01515169	1	1
Dcr-1	1	1	1	1	1	1	1	1.529619e-08	1	1	1.569633e-20
Dl	1	1	7.39791e-39	1	1	1	1.068916e-13	6.417455e-17	1	1	1
Imd	1	1	1	1	1	1	1	1	1	1	1
LOC100576527	1	1	1	1	1	1	1	0.1057713	1	1	1
LOC100576742	1	1	1	1	1	1	1	1	1	1	1
LOC100576819	1	1	1	1	1	1	1	1	1	1	1
LOC100577690	1	1	1	1	1	1	1	1	1	1	1
LOC100577764	1	1	1	1	1	1	1	1	1	1	1
LOC100577943	1	1	1	1	1	1	1	1	1	1	4.870044e-09
LOC100578030	1	1	1	1	1	1	1	1	1	1	1
LOC100578156	1	1	1	1	1	1	1	1	1	1	1
LOC100578356	1	1	1	1	1	1	1	1	1	1	1
LOC100578534	1	1	1	1	1	1	1	1	1	1	1
LOC100578537	1	1	1	1	1	1	1	1	3.429445e-16	1	1
LOC100578966	1	1	1	1	1	1	1	1	1	1	1
LOC102656893	1	1	1	1	1	1	1	1	1	1	1
LOC406097	1	1	1	1	1	1	1	1	1	1	1
LOC408358	1	1	1	1	1	1	1	1	1	1	1
LOC408438	1	1	1	1	1	1	1	1	1	1	1
LOC408501	1	1	1	1	1	1	1	1	1	1	1
LOC408533	1	1	1	1	1	1	1	1	1	1	1
LOC408544	1	1	1	1	1	1	1	1	1	1	1
LOC408561	1	1	1	1	1	1	1	1	1	1	0.0001120541
LOC408834	1	1	1	1	1	1	1	1	1	1	1
LOC408848	1	1	1	1	1	1	1	1	1	1	1
LOC408924	1	1	1	1	1	1	1	1	1	1	1
LOC408926	1	1	1	1	1	1	1	1	1	1	1
LOC409036	1	1	1	1	1	1	1	1	0.8108167	1	1
LOC409055	1	1	1	1	1	1	1	1	1	1	1
LOC409125	1	1	1	1	1	1	1	1	0.1785669	1	1
LOC409165	1	1	1	1	1	1	1	1	1	1	1
LOC409226	1	1	1	1	1	1	1	1	1	1	1
LOC409228	1	1	1	1	1	1	1	1	1	1	0.9548759
LOC409286	1	1	1	1	1	1	1	1	1	1	3.644597e-08
LOC409341	1	1	1	1	1	1	1	1	1	1	1
LOC409386	1	1	1	1	1	1	1	1	1	1	1
LOC409393	1	1	1	1	1	1	1	1	1	1	1
LOC409495	1	1	1	1	1	1	1	1	1	1	1
LOC409523	1	1	1	1	1	1	1	1	1	1	1
LOC409529	1	1	1	1	1	1	1	1	1	1	4.938505e-07
LOC409663	1	1	1	1	1	1	1	1	1	1	0.8809603
LOC409667	1	1	1	1	1	1	1	1	1	1	1
LOC409791	1	1	1	1	1	1	1	1	1	1	0.1349062
LOC409920	1	1	1	1	1	1	1	1	1	1	0.0001888348
LOC409925	1	1	1	1	1	1	1	1	1	1	1
LOC409941	1	1	1	1	1	1	1	1	1	1	1
LOC410183	1	1	1	0.2676664	1	1	1	1	1	1	1
LOC410229	1	1	1	1	1	1	0.7756276	1	1	1	3.934371e-41
LOC410231	1	1	1	1	1	1	1	1	1	1	1
LOC410235	1	1	1	1	1	1	1	1	1	1	3.538569e-20
LOC410257	1	1	1	1	1	1	1	1	1	1	1
LOC410510	1	1	1	1	1	1	1	1	1	1	1
LOC410575	1	1	1	1	1	1	1	1	4.784909e-07	1	1
