Gene	SelectedSites	3hit	3H:CMD	3H:Unaffected	2hit	2H:CMD	2H:Unaffected
apd-3	1,145,154,4	Pass	145,248,4,71	1,154	Fail	1,144,145,154,165,171,183,2,210,244,248,26,3,4,54,62	-
CytC	1,2,3,34,6,7,9	Pass		1,2,3,34,6,7,9	Pass	37,61	1,2,3,34,6,7,9
Ef-1a-f1	436,443,444,445,450,451,452,454	Pass	440,451,455,456	436,443,444,445,450,452,454	Pass	114,143,243,285,354,440,444,449,452,455,456	436,443,445,450,451,454
Gfat2	12,13,14,163,20,23,24,25,28,30,32,34,36,37,38,4,40,41,42,43,44,45,46,5,53,8	Pass	14,42	12,13,163,20,23,24,25,28,30,32,34,36,37,38,4,40,41,43,44,45,46,5,53,8	Pass	416,423,493,592,638,68,74	12,13,14,163,20,23,24,25,28,30,32,34,36,37,38,4,40,41,42,43,44,45,46,5,53,8
Grd	12,14,15,16,17,399,6,7,9	Pass		12,14,15,16,17,399,6,7,9	Pass		12,14,15,16,17,399,6,7,9
LOC100576321	413,453,487	Pass	615	413,453,487	Pass	1003,615	413,453,487
LOC100576346	123,218,342,343,466,64,670,75,76,970	Pass	116,298,367,845	123,218,342,343,466,64,670,75,76,970	Pass	1067,1070,298,367,686,750	123,218,342,343,466,64,670,75,76,970
LOC100576512	10,11,12,13,14,2,3,4,5,6,7	Pass	14,2,6	10,11,12,13,3,4,5,7	Pass	2,7	10,11,12,13,14,3,4,5,6
LOC100576667	362,363,364,365,366,448	Pass		362,363,364,365,366,448	Pass	374	362,363,364,365,366,448
LOC100576671	1,13,140,28,5,6,8	Pass		1,13,140,28,5,6,8	Pass	23,39,463,465,710	1,13,140,28,5,6,8
LOC100576812	14,144,204,206,207,209,211,213,216,221,52,53,56	Pass		14,144,204,206,207,209,211,213,216,221,52,53,56	Pass		14,144,204,206,207,209,211,213,216,221,52,53,56
LOC100576912	10,12,2,3,4,5,7	Pass		10,12,2,3,4,5,7	Pass	216	10,12,2,3,4,5,7
LOC100576947	100,107,108,259,300,403	Pass		100,107,108,259,300,403	Pass	70	100,107,108,259,300,403
LOC100577053	503,537,540,543,545,546	Pass		503,537,540,543,545,546	Pass	543	503,537,540,545,546
LOC100577198	11,13,14,235,254,3,384,397,401,411,5,6,8,9	Pass	669	11,13,14,235,254,3,384,397,401,411,5,6,8,9	Pass	395,491,5,534,669,670,676,909,916,940	11,13,14,235,254,3,384,397,401,411,6,8,9
LOC100577231	523,585,589,593,595,599,600,602,604,606,608,609,613,614,617,625,645,717,725,820,834,872,874,929	Pass		523,585,589,593,595,599,600,602,604,606,608,609,613,614,617,625,645,717,725,820,834,872,874,929	Pass	169,564,718,875	523,585,589,593,595,599,600,602,604,606,608,609,613,614,617,625,645,717,725,820,834,872,874,929
LOC100577280	107,1205,1380,1520,1765,183,252,308	Pass	1622	107,1205,1380,1520,1765,183,252,308	Pass	1232,1622,30	107,1205,1380,1520,1765,183,252,308
LOC100577325	142,145,146,147,148,150,151,154,155,156,157,158,161,162,163,164,165,166,167,168,169,172,175,61,92	Pass		142,145,146,147,148,150,151,154,155,156,157,158,161,162,163,164,165,166,167,168,169,172,175,61,92	Pass		142,145,146,147,148,150,151,154,155,156,157,158,161,162,163,164,165,166,167,168,169,172,175,61,92
