term_ID,description,frequency,plot_X,plot_Y,plot_size,uniqueness,dispensability,representative,eliminated
GO:0007626,"locomotory behavior",1.934%, 0.546, 0.665,2.344,0.856,0.000,7626,0
GO:0010248,"establishment or maintenance of transmembrane electrochemical gradient",0.062%, 2.347, 5.782,0.903,0.869,0.000,10248,0
GO:0019991,"septate junction assembly",0.299%,-0.474, 6.342,1.544,0.832,0.000,19991,0
GO:0045471,"response to ethanol",0.659%,-5.453, 2.984,1.881,0.895,0.000,45471,0
GO:0032353,"negative regulation of hormone biosynthetic process",0.035%,-1.167,-6.929,0.699,0.830,0.022,32353,0
GO:0009953,"dorsal/ventral pattern formation",1.231%, 6.298,-3.561,2.149,0.760,0.042,9953,0
GO:0046956,"positive phototaxis",0.035%,-3.704, 4.687,0.699,0.878,0.144,46956,0
GO:0097120,"receptor localization to synapse",0.026%, 4.998, 4.837,0.602,0.822,0.155,97120,0
GO:0043113,"receptor clustering",0.053%,null,null,0.845,0.720,0.848,97120,1
GO:0045175,"basal protein localization",0.088%, 3.570, 5.717,1.041,0.784,0.168,45175,0
GO:0007318,"pole plasm protein localization",0.097%,null,null,1.079,0.565,0.799,45175,1
GO:0045167,"asymmetric protein localization involved in cell fate determination",0.132%,null,null,1.204,0.670,0.794,45175,1
GO:0045196,"establishment or maintenance of neuroblast polarity",0.158%, 6.369,-0.579,1.279,0.672,0.178,45196,0
GO:0046425,"regulation of JAK-STAT cascade",0.439%,-5.354, 1.420,1.708,0.821,0.178,46425,0
GO:0071897,"DNA biosynthetic process",0.501%,-3.260,-6.419,1.763,0.822,0.190,71897,0
GO:0001738,"morphogenesis of a polarized epithelium",1.037%, 5.459,-5.240,2.076,0.741,0.192,1738,0
GO:0006011,"UDP-glucose metabolic process",0.097%,-5.399,-3.488,1.079,0.801,0.204,6011,0
GO:0070940,"dephosphorylation of RNA polymerase II C-terminal domain",0.026%,-3.707,-5.213,0.602,0.794,0.277,70940,0
GO:0030710,"regulation of border follicle cell delamination",0.009%, 3.188,-5.190,0.301,0.706,0.308,30710,0
GO:0007175,"negative regulation of epidermal growth factor-activated receptor activity",0.026%,-4.353,-2.085,0.602,0.740,0.378,7175,0
GO:0046710,"GDP metabolic process",0.070%,-5.079,-4.010,0.954,0.724,0.382,46710,0
GO:0046037,"GMP metabolic process",0.088%,null,null,1.041,0.717,0.893,46710,1
GO:0042332,"gravitaxis",0.237%,-4.068, 4.140,1.447,0.874,0.488,42332,0
GO:0030714,"anterior/posterior axis specification, follicular epithelium",0.026%, 5.527,-2.590,0.602,0.619,0.536,30714,0
GO:0046940,"nucleoside monophosphate phosphorylation",0.414%,-4.354,-4.691,1.681,0.715,0.549,46940,0
GO:0016336,"establishment or maintenance of polarity of larval imaginal disc epithelium",0.053%, 6.235,-1.693,0.845,0.671,0.562,16336,0
GO:0007391,"dorsal closure",0.905%, 5.110,-4.460,2.017,0.687,0.573,7391,0
GO:0016332,"establishment or maintenance of polarity of embryonic epithelium",0.088%,null,null,1.041,0.631,0.770,7391,1
GO:0000132,"establishment of mitotic spindle orientation",0.158%, 5.405, 2.724,1.279,0.663,0.610,132,0
GO:0008049,"male courtship behavior",0.914%, 2.149,-2.209,2.021,0.763,0.614,8049,0
GO:0030534,"adult behavior",1.424%, 2.541,-0.978,2.212,0.758,0.647,30534,0
