term_ID,description,frequency,plot_X,plot_Y,plot_size,uniqueness,dispensability,representative,eliminated
GO:0003910,"DNA ligase (ATP) activity",0.036%,-5.054,-4.586,0.699,0.791,0.000,3910,0
GO:0008139,"nuclear localization sequence binding",0.162%,-1.347,-0.696,1.279,0.817,0.000,8139,0
GO:0008503,"benzodiazepine receptor activity",0.139%, 3.933, 5.235,1.204,0.672,0.000,8503,0
GO:0017056,"structural constituent of nuclear pore",0.144%, 6.721,-0.865,1.230,0.840,0.000,17056,0
GO:0005118,"sevenless binding",0.027%, 0.760,-6.047,0.602,0.783,0.049,5118,0
GO:0016623,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor",0.036%,-3.629, 5.574,0.699,0.625,0.077,16623,0
GO:0004842,"ubiquitin-protein transferase activity",2.142%,-7.063, 0.307,2.378,0.784,0.103,4842,0
GO:0042169,"SH2 domain binding",0.063%, 3.355,-4.906,0.903,0.706,0.163,42169,0
GO:0017124,"SH3 domain binding",0.135%,null,null,1.204,0.704,0.703,42169,1
GO:0004890,"GABA-A receptor activity",0.036%, 4.520, 4.511,0.699,0.647,0.450,4890,0
GO:0022851,"GABA-gated chloride ion channel activity",0.027%,null,null,0.602,0.613,0.896,4890,1
GO:0004732,"pyridoxal oxidase activity",0.009%,-3.039, 6.017,0.301,0.599,0.644,4732,0
GO:0004031,"aldehyde oxidase activity",0.027%,null,null,0.602,0.592,0.904,4732,1
