TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0005548", "phospholipid transporter activity", 0.035, -5.244, 2.380, 3.977, -1.587, 1.000, 0.000, -1, False
"GO:0019158", "mannokinase activity", 0.003, 5.071, -2.902, 2.855, -2.585, 0.615, 0.000, -1, False
"GO:0004340", "glucokinase activity", 0.027, null, null, 3.867, -2.585, 0.581, 0.810, 19158, True
"GO:0008865", "fructokinase activity", 0.006, null, null, 3.239, -2.284, 0.602, 0.850, 19158, True
"GO:0035255", "ionotropic glutamate receptor binding", 0.002, -2.401, -5.344, 2.757, -2.284, 0.795, 0.000, -1, False
"GO:0005154", "epidermal growth factor receptor binding", 0.009, null, null, 3.404, -1.886, 0.785, 0.525, 35255, True
"GO:0070851", "growth factor receptor binding", 0.043, null, null, 4.068, -1.684, 0.775, 0.618, 35255, True
"GO:0008419", "RNA lariat debranching enzyme activity", 0.001, -0.361, 6.034, 2.338, -2.585, 0.904, 0.030, -1, False
"GO:0003910", "DNA ligase (ATP) activity", 0.055, 2.715, 6.207, 4.175, -2.108, 0.883, 0.176, -1, False
"GO:0004385", "guanylate kinase activity", 0.034, 4.860, 1.060, 3.974, -1.983, 0.627, 0.282, -1, False
"GO:0050145", "nucleoside monophosphate kinase activity", 0.194, null, null, 4.725, -1.547, 0.600, 0.849, 4385, True
"GO:0019955", "cytokine binding", 0.026, -3.493, -4.043, 3.849, -1.886, 0.849, 0.313, -1, False
"GO:0004683", "calmodulin-dependent protein kinase activity", 0.022, 6.332, -0.592, 3.780, -1.633, 0.697, 0.318, -1, False
"GO:0016776", "phosphotransferase activity, phosphate group as acceptor", 0.374, 6.308, -1.906, 5.009, -1.336, 0.720, 0.332, -1, False
