TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0007526", "larval somatic muscle development", 0.001, -7.440, 0.591, 2.336, -2.672, 0.688, 0.000, -1, False
"GO:0016204", "determination of muscle attachment site", 0.000, null, null, 1.643, -1.800, 0.746, 0.550, 7526, True
"GO:0009886", "post-embryonic animal morphogenesis", 0.016, null, null, 3.554, -1.346, 0.681, 0.658, 7526, True
"GO:0044719", "regulation of imaginal disc-derived wing size", 0.000, null, null, 1.954, -1.445, 0.636, 0.721, 7526, True
"GO:0016335", "morphogenesis of larval imaginal disc epithelium", 0.000, null, null, 1.544, -1.866, 0.697, 0.728, 7526, True
"GO:0016336", "establishment or maintenance of polarity of larval imaginal disc epithelium", 0.000, null, null, 1.380, -1.945, 0.678, 0.793, 7526, True
"GO:0035167", "larval lymph gland hemopoiesis", 0.001, null, null, 2.474, -2.474, 0.688, 0.797, 7526, True
"GO:0007560", "imaginal disc morphogenesis", 0.011, null, null, 3.392, -1.518, 0.643, 0.849, 7526, True
"GO:0048563", "post-embryonic animal organ morphogenesis", 0.013, null, null, 3.455, -1.518, 0.653, 0.967, 7526, True
"GO:0048707", "instar larval or pupal morphogenesis", 0.012, null, null, 3.443, -1.373, 0.671, 0.973, 7526, True
"GO:0009179", "purine ribonucleoside diphosphate metabolic process", 0.615, 2.211, -5.697, 5.141, -3.149, 0.733, 0.000, -1, False
"GO:0009166", "nucleotide catabolic process", 0.208, null, null, 4.671, -1.473, 0.779, 0.538, 9179, True
"GO:0046940", "nucleoside monophosphate phosphorylation", 0.236, null, null, 4.725, -1.606, 0.771, 0.544, 9179, True
"GO:0009132", "nucleoside diphosphate metabolic process", 0.723, null, null, 5.211, -2.893, 0.765, 0.605, 9179, True
"GO:0009165", "nucleotide biosynthetic process", 3.078, null, null, 5.840, -1.715, 0.725, 0.721, 9179, True
"GO:0090407", "organophosphate biosynthetic process", 4.840, null, null, 6.037, -1.305, 0.762, 0.775, 9179, True
"GO:0046710", "GDP metabolic process", 0.042, null, null, 3.979, -2.042, 0.777, 0.787, 9179, True
"GO:0009123", "nucleoside monophosphate metabolic process", 1.488, null, null, 5.525, -1.650, 0.749, 0.789, 9179, True
"GO:0046037", "GMP metabolic process", 0.137, null, null, 4.489, -1.945, 0.773, 0.827, 9179, True
"GO:0009167", "purine ribonucleoside monophosphate metabolic process", 0.783, null, null, 5.246, -1.733, 0.750, 0.841, 9179, True
"GO:0009126", "purine nucleoside monophosphate metabolic process", 0.784, null, null, 5.246, -1.733, 0.752, 0.855, 9179, True
"GO:1901292", "nucleoside phosphate catabolic process", 0.266, null, null, 4.778, -1.445, 0.775, 0.866, 9179, True
"GO:1901293", "nucleoside phosphate biosynthetic process", 3.092, null, null, 5.842, -1.699, 0.728, 0.872, 9179, True
"GO:0009161", "ribonucleoside monophosphate metabolic process", 1.192, null, null, 5.428, -1.699, 0.742, 0.893, 9179, True
"GO:0009185", "ribonucleoside diphosphate metabolic process", 0.618, null, null, 5.143, -3.149, 0.735, 0.962, 9179, True
"GO:0009135", "purine nucleoside diphosphate metabolic process", 0.615, null, null, 5.141, -3.149, 0.735, 0.962, 9179, True
"GO:0006165", "nucleoside diphosphate phosphorylation", 0.624, null, null, 5.147, -1.419, 0.729, 0.963, 9179, True
"GO:0006096", "glycolytic process", 0.563, null, null, 5.102, -1.568, 0.721, 0.985, 9179, True
"GO:0046031", "ADP metabolic process", 0.572, null, null, 5.110, -1.502, 0.733, 0.987, 9179, True
"GO:0006757", "ATP generation from ADP", 0.563, null, null, 5.102, -1.568, 0.728, 0.991, 9179, True
"GO:0046425", "regulation of receptor signaling pathway via JAK-STAT", 0.012, 0.466, 0.903, 3.442, -2.971, 0.884, 0.000, -1, False
"GO:0090277", "positive regulation of peptide hormone secretion", 0.014, null, null, 3.492, -2.042, 0.884, 0.517, 46425, True
"GO:1903034", "regulation of response to wounding", 0.032, null, null, 3.853, -1.350, 0.890, 0.517, 46425, True
"GO:0046427", "positive regulation of receptor signaling pathway via JAK-STAT", 0.005, null, null, 3.058, -1.692, 0.879, 0.946, 46425, True
"GO:1904894", "positive regulation of receptor signaling pathway via STAT", 0.006, null, null, 3.114, -1.692, 0.878, 0.952, 46425, True
"GO:0046956", "positive phototaxis", 0.000, 6.129, 1.785, 1.778, -2.042, 0.960, 0.000, -1, False
"GO:0097120", "receptor localization to synapse", 0.008, 0.557, 6.635, 3.269, -2.166, 0.935, 0.000, -1, False
"GO:0006334", "nucleosome assembly", 0.089, -4.102, 4.258, 4.304, -1.419, 0.884, 0.006, -1, False
"GO:0043486", "histone exchange", 0.027, null, null, 3.780, -1.372, 0.896, 0.874, 6334, True
"GO:0005975", "carbohydrate metabolic process", 6.091, -4.476, -6.204, 6.137, -1.650, 0.960, 0.084, -1, False
"GO:0030710", "regulation of border follicle cell delamination", 0.004, -1.791, 0.780, 2.916, -2.642, 0.947, 0.136, -1, False
"GO:0042593", "glucose homeostasis", 0.063, -0.690, 0.864, 4.150, -2.857, 0.910, 0.139, -1, False
"GO:0001678", "cellular glucose homeostasis", 0.040, null, null, 3.959, -2.642, 0.907, 0.969, 42593, True
"GO:1903461", "Okazaki fragment processing involved in mitotic DNA replication", 0.001, 4.866, -2.823, 2.283, -2.642, 0.904, 0.159, -1, False
"GO:0010975", "regulation of neuron projection development", 0.067, 0.821, 2.294, 4.181, -1.898, 0.882, 0.160, -1, False
"GO:0031344", "regulation of cell projection organization", 0.127, null, null, 4.454, -1.658, 0.899, 0.654, 10975, True
"GO:0048680", "positive regulation of axon regeneration", 0.002, null, null, 2.549, -1.800, 0.824, 0.745, 10975, True
"GO:1903036", "positive regulation of response to wounding", 0.012, null, null, 3.430, -1.445, 0.876, 0.802, 10975, True
"GO:0070570", "regulation of neuron projection regeneration", 0.006, null, null, 3.164, -1.692, 0.832, 0.808, 10975, True
"GO:0070572", "positive regulation of neuron projection regeneration", 0.002, null, null, 2.553, -1.800, 0.828, 0.872, 10975, True
"GO:0048679", "regulation of axon regeneration", 0.006, null, null, 3.138, -1.692, 0.822, 0.929, 10975, True
"GO:0120035", "regulation of plasma membrane bounded cell projection organization", 0.106, null, null, 4.377, -1.658, 0.881, 0.942, 10975, True
"GO:0048678", "response to axon injury", 0.008, 5.176, 1.356, 3.264, -1.419, 0.968, 0.161, -1, False
"GO:0031103", "axon regeneration", 0.003, null, null, 2.851, -1.534, 0.637, 0.697, 48678, True
"GO:0031102", "neuron projection regeneration", 0.004, null, null, 2.938, -1.534, 0.640, 0.789, 48678, True
"GO:0051960", "regulation of nervous system development", 0.076, 1.729, 0.348, 4.231, -1.731, 0.872, 0.169, -1, False
"GO:0045664", "regulation of neuron differentiation", 0.039, null, null, 3.941, -1.514, 0.884, 0.570, 51960, True
"GO:0035203", "regulation of lamellocyte differentiation", 0.000, null, null, 1.771, -1.646, 0.892, 0.585, 51960, True
"GO:0048580", "regulation of post-embryonic development", 0.029, null, null, 3.810, -1.419, 0.879, 0.765, 51960, True
"GO:0051962", "positive regulation of nervous system development", 0.044, null, null, 3.999, -1.658, 0.853, 0.788, 51960, True
"GO:1903706", "regulation of hemopoiesis", 0.062, null, null, 4.147, -1.534, 0.873, 0.806, 51960, True
"GO:0045613", "regulation of plasmatocyte differentiation", 0.000, null, null, 1.771, -1.646, 0.895, 0.934, 51960, True
"GO:0048193", "Golgi vesicle transport", 0.356, -1.072, 6.549, 4.904, -1.674, 0.926, 0.179, -1, False
"GO:0006890", "retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum", 0.061, null, null, 4.140, -1.372, 0.930, 0.653, 48193, True
"GO:0042866", "pyruvate biosynthetic process", 0.006, 0.782, -3.472, 3.141, -1.646, 0.911, 0.206, -1, False
